"Дата";"Артикул";"Наименование";"Валюта";"Итого";"Цена";"Доставка";"ЦенаБазовая";"Остаток"
"2026-09-04 10:54:29";"1422010347";"TROUVER Робот-пылесос S70 Ultra Roller, 32000 Па, RU-Версия";"kzt";"486660";"474220";"12440";"891400";"54"
"2026-09-04 10:54:29";"1422010363";"TROUVER Робот-пылесос S70 Pro Roller, 30000 Па, RU-версия";"kzt";"429590";"418420";"11170";"734080";"54"
"2026-09-04 06:44:41";"1422010347";"TROUVER Робот-пылесос S70 Ultra Roller, 32000 Па, RU-Версия";"kzt";"486660";"474220";"12440";"891400";"35"
"2026-09-04 10:10:57";"1422010207";"TROUVER Робот-пылесос Z50 Ultra, RU-версия";"kzt";"465730";"453030";"12700";"786520";"39"
"2026-09-04 10:50:59";"259494387";"АГРОЛО Гидропонная система выращивания растений";"kzt";"41090";"39650";"1440";"78130";"15"
"2026-09-04 11:05:56";"1422010363";"TROUVER Робот-пылесос S70 Pro Roller, 30000 Па, RU-версия";"kzt";"429550";"418420";"11130";"734080";"42"
"2026-09-04 11:05:56";"1422010347";"TROUVER Робот-пылесос S70 Ultra Roller, 32000 Па, RU-Версия";"kzt";"486620";"474220";"12400";"891400";"42"
"2026-09-04 11:05:56";"259494387";"АГРОЛО Гидропонная система выращивания растений";"kzt";"41060";"39650";"1410";"78130";"15"
"2026-09-04 11:36:00";"1422010363";"TROUVER Робот-пылесос S70 Pro Roller, 30000 Па, RU-версия";"kzt";"429590";"418420";"11170";"734080";"42"
"2026-09-04 11:36:00";"1422010347";"TROUVER Робот-пылесос S70 Ultra Roller, 32000 Па, RU-Версия";"kzt";"486660";"474220";"12440";"891400";"42"
"2026-09-04 11:36:00";"259494387";"АГРОЛО Гидропонная система выращивания растений";"kzt";"41090";"39650";"1440";"78130";"15"
"2026-09-04 12:20:59";"1260390072";"TROUVER S70 Pro Roller (RLZ11HE) пылесос для дома";"kzt";"441330";"426820";"14510";"460930";"12"
"2026-09-04 21:00:55";"1422010363";"TROUVER Робот-пылесос S70 Pro Roller, 30000 Па, RU-версия";"kzt";"431400";"420190";"11210";"737180";"51"
"2026-09-04 21:00:55";"1422010347";"TROUVER Робот-пылесос S70 Ultra Roller, 32000 Па, RU-Версия";"kzt";"488710";"476220";"12490";"895160";"51"
"2026-09-04 21:00:55";"259494387";"АГРОЛО Гидропонная система выращивания растений";"kzt";"41260";"39810";"1450";"78460";"15"
"2026-09-05 12:56:05";"259494387";"АГРОЛО Гидропонная система выращивания растений";"kzt";"41550";"40090";"1460";"78460";"15"
"2026-09-05 16:50:55";"901686058";"Purshat Витаминный биокомплекс для гидропоники универсальный";"kzt";"2760";"2690";"70";"4440";"52"
"2026-09-05 17:15:53";"1015602934";"SHOKZ Моногарнитура беспроводная C120-AN-BK Bluetooth Черный (C120";"kzt";"79850";"78080";"1770";"98850";"18"
"2026-09-05 21:06:02";"901686058";"Purshat Витаминный биокомплекс для гидропоники универсальный";"kzt";"2790";"2720";"70";"4430";"42"
"2026-09-06 10:35:56";"901686058";"Purshat Витаминный биокомплекс для гидропоники универсальный";"kzt";"3080";"3010";"70";"4430";"49"
"2026-09-06 13:35:52";"259494387";"АГРОЛО Гидропонная система выращивания растений";"kzt";"39050";"37890";"1160";"78460";"16"
"2026-09-06 21:10:53";"901686058";"Purshat Витаминный биокомплекс для гидропоники универсальный";"kzt";"3030";"2960";"70";"4460";"45"
"2026-09-07 08:40:55";"901686058";"Purshat Витаминный биокомплекс для гидропоники универсальный";"kzt";"3000";"2930";"70";"4470";"46"
"2026-09-07 10:10:58";"1015602934";"SHOKZ Моногарнитура беспроводная C120-AN-BK Bluetooth Черный (C120";"kzt";"78940";"77190";"1750";"97710";"18"
"2026-09-07 11:35:57";"901686058";"Purshat Витаминный биокомплекс для гидропоники универсальный";"kzt";"3050";"2980";"70";"4470";"54"
"2026-09-07 11:40:54";"901686058";"Purshat Витаминный биокомплекс для гидропоники универсальный";"kzt";"3070";"3000";"70";"4470";"54"
"2026-09-07 12:35:52";"1422010363";"TROUVER Робот-пылесос S70 Pro Roller, 30000 Па, RU-версия";"kzt";"431380";"420190";"11190";"737180";"39"
"2026-09-07 12:35:52";"1422010347";"TROUVER Робот-пылесос S70 Ultra Roller, 32000 Па, RU-Версия";"kzt";"488690";"476220";"12470";"895160";"39"
"2026-09-07 21:00:56";"1422010363";"TROUVER Робот-пылесос S70 Pro Roller, 30000 Па, RU-версия";"kzt";"434120";"422860";"11260";"741870";"45"
"2026-09-07 21:00:56";"1422010347";"TROUVER Робот-пылесос S70 Ultra Roller, 32000 Па, RU-Версия";"kzt";"491800";"479250";"12550";"900850";"45"
"2026-09-07 21:00:56";"259494387";"АГРОЛО Гидропонная система выращивания растений";"kzt";"39300";"38130";"1170";"78960";"15"
"2026-09-07 21:00:56";"901686058";"Purshat Витаминный биокомплекс для гидропоники универсальный";"kzt";"3090";"3020";"70";"4500";"45"
"2026-09-07 21:00:56";"1015602934";"SHOKZ Моногарнитура беспроводная C120-AN-BK Bluetooth Черный (C120";"kzt";"79440";"77680";"1760";"98330";"18"
"2026-09-07 21:15:54";"901686058";"Purshat Витаминный биокомплекс для гидропоники универсальный";"kzt";"3160";"3080";"80";"4480";"45"
"2026-09-07 21:45:54";"901686058";"Purshat Витаминный биокомплекс для гидропоники универсальный";"kzt";"3120";"3050";"70";"4480";"45"
"2026-09-08 04:15:56";"1422010363";"TROUVER Робот-пылесос S70 Pro Roller, 30000 Па, RU-версия";"kzt";"371980";"362050";"9930";"732910";"49"
"2026-09-08 04:15:56";"1422010347";"TROUVER Робот-пылесос S70 Ultra Roller, 32000 Па, RU-Версия";"kzt";"434190";"422880";"11310";"897460";"49"
"2026-09-08 09:35:57";"1015602934";"SHOKZ Моногарнитура беспроводная C120-AN-BK Bluetooth Черный (C120";"kzt";"79070";"77320";"1750";"97880";"18"
